county_served,year,average_result_value,total_pws_ids,"Colorectal Rate per 100,000"
ALAMEDA,1998,2.435733485,6,53
ALAMEDA,1999,2.14546122,8,53.9
ALAMEDA,2000,2.574262755,6,49.8
ALAMEDA,2001,3.421738787,9,49.3
ALAMEDA,2002,2.446236236,8,49.1
ALAMEDA,2003,2.873530027,7,45.9
ALAMEDA,2004,2.205767984,7,43.7
ALAMEDA,2005,2.436157,8,43.3
ALAMEDA,2006,2.795790016,9,45.9
ALAMEDA,2007,2.821906262,7,47.7
ALAMEDA,2008,2.981303791,7,49
ALAMEDA,2009,2.977210293,7,40.2
ALAMEDA,2010,3.311511226,6,37.5
ALAMEDA,2011,3.152229856,7,36.1
ALPINE,1998,0.08136,2,14.033
ALPINE,1999,0.078723333,3,18.067
ALPINE,2000,0.0678,1,12.9
ALPINE,2001,0.05311,2,16.933
ALPINE,2002,0.0904,2,17.933
ALPINE,2003,0.140346,4,15.8
ALPINE,2004,0.232403333,3,14.467
ALPINE,2005,0.105655,2,14.033
ALPINE,2006,0.27233,2,15.567
ALPINE,2007,0.27572,1,14.3
ALPINE,2008,NA,NA,14.433
ALPINE,2009,NA,NA,13.833
ALPINE,2010,0.4068,1,14.2
ALPINE,2011,NA,NA,12.3
AMADOR,1998,0.57135625,8,14.033
AMADOR,1999,0.345277778,9,18.067
AMADOR,2000,0.64184,8,12.9
AMADOR,2001,0.267182222,7,16.933
AMADOR,2002,0.446178788,11,17.933
AMADOR,2003,0.604926667,12,15.8
AMADOR,2004,0.483388889,9,14.467
AMADOR,2005,0.488797436,13,14.033
AMADOR,2006,0.6511625,8,15.567
AMADOR,2007,0.702644762,7,14.3
AMADOR,2008,0.831572381,7,14.433
AMADOR,2009,1.058182222,9,13.833
AMADOR,2010,0.86224381,7,14.2
AMADOR,2011,1.007771667,6,12.3
BUTTE,1998,1.323048977,25,45.1
BUTTE,1999,0.988932997,24,55.3
BUTTE,2000,1.026510072,29,63.2
BUTTE,2001,1.338584303,30,52.9
BUTTE,2002,1.246998701,32,46.1
BUTTE,2003,1.189799452,35,45.1
BUTTE,2004,1.186657748,33,47.4
BUTTE,2005,1.354947568,36,43.1
BUTTE,2006,2.057709247,20,43.1
BUTTE,2007,2.325830057,20,34.7
BUTTE,2008,1.906026699,25,41.6
BUTTE,2009,1.73635874,26,39.4
BUTTE,2010,1.909265326,23,39.1
BUTTE,2011,2.002822045,22,41.9
CALAVERAS,1998,0.122793333,12,14.033
CALAVERAS,1999,0.337696154,13,18.067
CALAVERAS,2000,0.457085,10,12.9
CALAVERAS,2001,0.31753,10,16.933
CALAVERAS,2002,0.446523846,13,17.933
CALAVERAS,2003,0.261406667,15,15.8
CALAVERAS,2004,0.483004375,16,14.467
CALAVERAS,2005,0.408575714,14,14.033
CALAVERAS,2006,0.661974545,11,15.567
CALAVERAS,2007,0.378344545,11,14.3
CALAVERAS,2008,0.563116667,12,14.433
CALAVERAS,2009,1.06883875,8,13.833
CALAVERAS,2010,0.93747625,8,14.2
CALAVERAS,2011,0.712013,10,12.3
COLUSA,1998,2.460888889,3,17.267
COLUSA,1999,1.13565,4,23.067
COLUSA,2000,0.761942857,7,19.6
COLUSA,2001,0.731439583,8,18.5
COLUSA,2002,1.207844444,3,15.533
COLUSA,2003,1.205333333,5,18
COLUSA,2004,1.043366667,4,19.3
COLUSA,2005,0.68026,5,16.1
COLUSA,2006,2.274125,2,13.967
COLUSA,2007,1.107776667,4,16.767
COLUSA,2008,1.73342,3,15.433
COLUSA,2009,1.1697195,4,11.867
COLUSA,2010,0.652612667,5,12.133
COLUSA,2011,1.195238667,5,12.3
CONTRA COSTA,1998,0.766119014,5,49.5
CONTRA COSTA,1999,1.314142286,8,52.3
CONTRA COSTA,2000,1.47634081,9,49.2
CONTRA COSTA,2001,1.848977447,16,47.7
CONTRA COSTA,2002,2.200290845,23,49.4
CONTRA COSTA,2003,1.536304364,25,47.3
CONTRA COSTA,2004,1.770119889,34,47.5
CONTRA COSTA,2005,1.555266825,32,47.7
CONTRA COSTA,2006,3.260939796,16,42.7
CONTRA COSTA,2007,2.790187823,15,48.6
CONTRA COSTA,2008,2.359165223,15,49.2
CONTRA COSTA,2009,2.237456799,18,43.2
CONTRA COSTA,2010,2.55291999,16,46.4
CONTRA COSTA,2011,2.712516149,17,41.5
DEL NORTE,1998,1.575408333,12,25.35
DEL NORTE,1999,1.103290909,11,26.6
DEL NORTE,2000,0.79552,5,28.5
DEL NORTE,2001,1.300127778,12,22.45
DEL NORTE,2002,2.0905,8,27.25
DEL NORTE,2003,2.6668,4,32.25
DEL NORTE,2004,2.201885714,7,30.35
DEL NORTE,2005,1.6272,8,23.35
DEL NORTE,2006,1.921,3,24.05
DEL NORTE,2007,1.135876,5,21.5
DEL NORTE,2008,2.108077778,6,26.5
DEL NORTE,2009,1.9789125,6,23.3
